,PLAYER,TEAM,GP,MPG,AST,APG,TO,TOPG,AP40M,AST/TO,RK
86,"Marcus Moore, G",WSU,18,33.8,84,4.7,68,3.8,5.5,1.24,87
87,"Kason Mims, G",QUIN,29,34.6,135,4.7,83,2.9,5.4,1.63,88
88,"Matt Rohde, G",GB,30,36.4,139,4.6,86,2.9,5.1,1.62,89
89,"Ryan Sidney, G",BC,29,35.5,134,4.6,86,3.0,5.2,1.56,90
90,"Andrew Pleick, G",LAF,29,33.3,134,4.6,92,3.2,5.5,1.46,91
91,"Omar Wellington, G",SHU,29,34.5,134,4.6,79,2.7,5.4,1.70,92
92,"Dante Stiggers, G",USM,29,27.0,134,4.6,72,2.5,6.9,1.86,93
93,"Josh Daniel, G",UTA,29,31.1,134,4.6,86,3.0,5.9,1.56,94
94,"Gerry McNamara, G",SYR,29,35.4,134,4.6,71,2.4,5.2,1.89,95
95,"Marcello Robinson, G",BRAD,28,31.6,129,4.6,81,2.9,5.8,1.59,96
96,"Deron Williams, G",ILL,30,26.9,138,4.6,56,1.9,6.8,2.46,97
97,"David Sykes, G",TXST,29,30.7,133,4.6,85,2.9,6.0,1.56,98
98,"Mark Brown, G",USU,32,32.3,146,4.6,69,2.2,5.7,2.12,99
99,"Brian Evans, G",AMCC,29,34.4,132,4.6,115,4.0,5.3,1.15,100
100,"Turner Battle, G",BUFF,20,35.4,91,4.6,48,2.4,5.1,1.90,101
101,"Woody Souffrant, G",HOF,28,33.4,127,4.5,91,3.3,5.4,1.40,102
102,"Kevin Sheppard, G",JAC,29,34.9,131,4.5,99,3.4,5.2,1.32,103
103,"Brent Darby, G",OSU,31,38.1,140,4.5,114,3.7,4.7,1.23,104
104,"Cameron Crisp, G",TNTC,32,30.0,144,4.5,101,3.2,6.0,1.43,105
105,"Donnie McGrath, G",PROV,29,33.2,130,4.5,66,2.3,5.4,1.97,106
106,"Chris Sumner, G",MSM,27,34.9,121,4.5,70,2.6,5.1,1.73,107
107,"Daniel Horton, G",MICH,30,36.1,134,4.5,110,3.7,5.0,1.22,108
108,"Chuck Eidson, G",SC,28,34.9,125,4.5,76,2.7,5.1,1.64,109
109,"Vince Greene, G",ILST,29,32.5,129,4.4,96,3.3,5.5,1.34,110
110,"Kasib Powell, F",TTU,30,35.0,133,4.4,43,1.4,5.1,3.09,111
111,"Andrew Wisniewski, G",CENT,28,33.9,124,4.4,101,3.6,5.2,1.23,112
112,"Jeff Horner, G",IOWA,28,35.3,124,4.4,66,2.4,5.0,1.88,113
113,"Troy Nance, G",ODU,26,20.5,115,4.4,54,2.1,8.6,2.13,114
114,"Charles Brown, G",LMU,31,29.4,137,4.4,117,3.8,6.0,1.17,115
115,"Gregory Burks, G",PV,29,36.1,128,4.4,83,2.9,4.9,1.54,116
116,"Taron Downey, G",WAKE,29,34.2,128,4.4,74,2.6,5.2,1.73,117
117,"Jabari Mattox, G",BGSU,22,32.6,97,4.4,76,3.5,5.4,1.28,118
118,"Rashid Smith, G",RICE,27,23.3,118,4.4,62,2.3,7.5,1.90,119
119,"John Lucas III, G",BAY,28,35.1,122,4.4,55,2.0,5.0,2.22,120
0,"Greg Davis, G",TROY,30,33.9,253,8.4,86,2.9,9.9,2.94,1
1,"Martell Bailey, G",UIC,31,33.6,245,7.9,107,3.5,9.4,2.29,2
2,"Andres Rodriguez, G",AMER,31,37.3,225,7.3,100,3.2,7.8,2.25,3
3,"Raymond Felton, G",UNC,28,34.6,202,7.2,94,3.4,8.3,2.15,4
4,"Aaron Miles, G",KU,29,33.7,208,7.2,72,2.5,8.5,2.89,5
5,"Maurice Searight, G",GRAM,28,33.8,195,7.0,89,3.2,8.2,2.19,6
6,"Blake Stepp, G",GONZ,28,34.0,193,6.9,82,2.9,8.1,2.35,7
7,"Jerel Blassingame, G",UNLV,30,33.1,204,6.8,108,3.6,8.2,1.89,8
8,"Taliek Brown, G",CONN,33,29.3,220,6.7,75,2.3,9.1,2.93,9
9,"Walker Russell, G",JVST,28,33.5,182,6.5,100,3.6,7.8,1.82,10
10,"Michael McGrain, G",USD,26,30.9,169,6.5,82,3.2,8.4,2.06,11
11,"Chris Duhon, G",DUKE,32,35.8,198,6.2,93,2.9,6.9,2.13,12
12,"Alvin Cruz, G",NIAG,30,33.4,185,6.2,68,2.3,7.4,2.72,13
13,"Jonathan Bluitt, G",ORU,27,35.5,165,6.1,73,2.7,6.9,2.26,14
14,"Ali Berdiel, G",VALP,30,29.4,183,6.1,124,4.1,8.3,1.48,15
15,"Deron Williams, G",ILL,27,34.2,164,6.1,72,2.7,7.1,2.28,16
16,"Eric Dobson, G",MAINE,30,32.6,179,6.0,115,3.8,7.3,1.56,17
17,"Marquis Poole, G",IDST,28,33.8,167,6.0,111,4.0,7.1,1.50,18
18,"Andre Barrett, G",HALL,29,35.9,172,5.9,76,2.6,6.6,2.26,19
19,"Martin Osimani, G",DUQ,29,29.2,172,5.9,94,3.2,8.1,1.83,20
20,"Mike Slattery, G",DEL,28,33.8,166,5.9,71,2.5,7.0,2.34,21
21,"Richard Little, G",VMI,28,31.0,165,5.9,115,4.1,7.6,1.43,22
22,"Travis Diener, G",MARQ,28,34.7,164,5.9,65,2.3,6.8,2.52,23
23,"Jarrett Jack, G",GT,32,31.2,187,5.8,97,3.0,7.5,1.93,24
24,"Wesley Stokes, G",SDSU,30,33.8,175,5.8,114,3.8,6.9,1.54,25
25,"DeAndre Haynes, G",KENT,30,34.5,174,5.8,94,3.1,6.7,1.85,26
26,"Tory Cavalieri, G",SFNY,28,34.5,162,5.8,92,3.3,6.7,1.76,27
27,"Ed O'Neil, G",CHSO,28,34.0,162,5.8,91,3.3,6.8,1.78,28
28,"Chris Paul, G",WAKE,28,33.3,162,5.8,76,2.7,6.9,2.13,29
29,"J.J. Barea, G",NE,26,34.2,150,5.8,77,3.0,6.7,1.95,30
30,"Kason Mims, G",QUIN,29,35.8,166,5.7,110,3.8,6.4,1.51,31
31,"Courtney Pritchard, G",WAG,28,34.7,159,5.7,93,3.3,6.5,1.71,32
32,"Nick D'Antoni, G",W&M;,28,33.6,159,5.7,76,2.7,6.8,2.09,33
33,"Jerome (Fridge) Holman, G",WICH,28,28.0,158,5.6,87,3.1,8.1,1.82,34
34,"Matt Crenshaw, G",IUPU,32,36.3,180,5.6,78,2.4,6.2,2.31,35
35,"Shantay Legans, G",FRES,29,38.2,162,5.6,60,2.1,5.8,2.70,36
36,"Marcus Whitaker, G",FDU,29,34.1,161,5.6,56,1.9,6.5,2.88,37
37,"Jave Meade, G",HC,28,33.9,155,5.5,53,1.9,6.5,2.92,38
38,"Cedric Bozeman, G",UCLA,28,33.7,155,5.5,84,3.0,6.6,1.85,39
39,"Matt Witt, G",EKY,29,33.5,160,5.5,121,4.2,6.6,1.32,40
40,"Antonio Burks, G",MEM,28,34.1,154,5.5,67,2.4,6.5,2.30,41
41,"Terry Reynolds, G",GMU,28,28.5,153,5.5,92,3.3,7.7,1.66,42
42,"A.W. Hamilton, G",MRSH,29,35.6,158,5.4,73,2.5,6.1,2.16,43
43,"Terry Williams, G",GASO,29,28.4,158,5.4,67,2.3,7.7,2.36,44
44,"Jameer Nelson, G",JOES,28,33.4,150,5.4,84,3.0,6.4,1.79,45
45,"Cliff Hawkins, G",UK,30,30.9,160,5.3,86,2.9,6.9,1.86,46
46,"Ramod Marshall, G",DAY,31,35.0,162,5.2,91,2.9,6.0,1.78,47
47,"Tyler George, G",UTM,28,28.0,146,5.2,73,2.6,7.4,2.00,48
48,"Marques Green, G",SBON,27,39.4,140,5.2,106,3.9,5.3,1.32,49
49,"Earnest Crumbley, G",FAU,28,33.2,145,5.2,87,3.1,6.2,1.67,50
50,"C.J. Watson, G",TENN,28,34.0,145,5.2,68,2.4,6.1,2.13,51
51,"Rob Monroe, G",QUIN,25,36.1,129,5.2,50,2.0,5.7,2.58,52
52,"Ronnie Taylor, G",UNCG,27,31.7,139,5.1,72,2.7,6.5,1.93,53
53,"Justin DeBerry, G",LAF,28,32.9,144,5.1,84,3.0,6.2,1.71,54
54,"Ricky Minard, G-F",MORE,29,34.3,147,5.1,106,3.7,5.9,1.39,55
55,"Louis Ford, G",HOW,28,32.5,141,5.0,100,3.6,6.2,1.41,56
56,"Andre Iguodala, F",ARIZ,29,31.9,146,5.0,80,2.8,6.3,1.83,57
57,"Rodney Billups, G",DEN,27,33.6,134,5.0,93,3.4,5.9,1.44,58
58,"Jason Forte, G",BRWN,26,34.2,129,5.0,90,3.5,5.8,1.43,59
59,"John Gilchrist, G",MD,30,33.9,148,4.9,93,3.1,5.8,1.59,60
60,"Michael Gardener, G",SELA,29,34.1,143,4.9,85,2.9,5.8,1.68,61
61,"Lamar Hurd, G",ORST,28,34.3,138,4.9,59,2.1,5.8,2.34,62
62,"Austen Rowland, G",LEH,30,31.9,147,4.9,89,3.0,6.1,1.65,63
63,"Rashid Smith, G",RICE,32,30.1,156,4.9,104,3.3,6.5,1.50,64
64,"Chris Thomas, G",ND,29,38.2,141,4.9,74,2.6,5.1,1.91,65
65,"Mark Brown, G",USU,28,31.5,136,4.9,84,3.0,6.2,1.62,66
66,"William Moore, G",TNTC,28,31.7,135,4.8,62,2.2,6.1,2.18,67
67,"Jason Braxton, G",ASU,27,28.8,130,4.8,63,2.3,6.7,2.06,68
68,"Brian Snider, G",WMU,30,28.4,143,4.8,54,1.8,6.7,2.65,69
69,"Carl Krauser, G",PITT,29,35.9,138,4.8,84,2.9,5.3,1.64,70
70,"Ben Gordon, G",CONN,33,34.0,157,4.8,91,2.8,5.6,1.73,71
71,"Ray Trowell, G",CHAT,30,27.7,142,4.7,74,2.5,6.8,1.92,72
72,"Andre Hazel, G",SF,31,26.3,146,4.7,110,3.5,7.2,1.33,73
73,"Filiberto Rivera, G",UTEP,31,33.5,146,4.7,69,2.2,5.6,2.12,74
74,"Brian Woodson, G",LIB,32,28.9,150,4.7,103,3.2,6.5,1.46,75
75,"Timmy Bowers, G",MSST,28,35.6,131,4.7,97,3.5,5.3,1.35,76
76,"Delonte West, G",JOES,28,32.9,131,4.7,66,2.4,5.7,1.98,77
77,"Adam Chiles, G",MURR,28,22.7,131,4.7,77,2.8,8.2,1.70,78
78,"Mike Monserez, G-F",BUT,30,35.8,140,4.7,92,3.1,5.2,1.52,79
79,"Vernard Hollins, G",WRST,28,35.4,130,4.6,94,3.4,5.2,1.38,80
80,"T.J. Sorrentine, G",UVM,30,35.8,139,4.6,91,3.0,5.2,1.53,81
81,"Will Conroy, G",WASH,30,26.8,139,4.6,78,2.6,6.9,1.78,82
82,"Ka'Ron Barnes, G",COR,27,35.1,125,4.6,115,4.3,5.3,1.09,83
83,"John Lucas III, G",OKST,30,33.9,138,4.6,51,1.7,5.4,2.71,84
84,"Luke Jackson, F",ORE,27,34.5,124,4.6,74,2.7,5.3,1.68,85
85,"Francisco Garcia, F",LOU,27,30.2,124,4.6,76,2.8,6.1,1.63,86
86,"Kevin Hammack, G",CIT,27,31.3,124,4.6,122,4.5,5.9,1.02,87
87,"Gil Goodrich, G",LAM,29,31.3,133,4.6,93,3.2,5.9,1.43,88
88,"Javier Mendiburu, G",GB,28,26.5,128,4.6,80,2.9,6.9,1.60,89
89,"Lucious Wagner, G",EVAN,29,28.1,132,4.6,73,2.5,6.5,1.81,90
90,"Mustafa Shakur, G",ARIZ,29,30.0,132,4.6,82,2.8,6.1,1.61,91
91,"Chris Hernandez, G",STAN,28,30.7,127,4.5,66,2.4,5.9,1.92,92
92,"Curtis Stinson, G",ISU,29,35.0,131,4.5,114,3.9,5.2,1.15,93
93,"Tim Smith, G",ETSU,31,35.5,140,4.5,125,4.0,5.1,1.12,94
94,"Sergio Sanchez, G",TRGV,28,34.6,126,4.5,77,2.8,5.2,1.64,95
95,"E.J. Rowland, G",SMC,29,32.1,130,4.5,96,3.3,5.6,1.35,96
96,"Johnny Hollingsworth, G",AKR,21,27.8,94,4.5,41,2.0,6.4,2.29,97
97,"Dee Brown, G",ILL,30,34.7,134,4.5,61,2.0,5.2,2.20,98
98,"Jamal Jackson, G",SIE,30,31.7,134,4.5,85,2.8,5.6,1.58,99
99,"Bashir Mason, G",DREX,28,30.0,125,4.5,66,2.4,6.0,1.89,100
100,"Brian Evans, G",AMCC,26,29.6,116,4.5,85,3.3,6.0,1.36,101
101,"Jamon Gordon, G",VT,24,33.3,107,4.5,54,2.3,5.4,1.98,102
102,"Carl Elliott, G",GW,29,26.3,129,4.4,96,3.3,6.8,1.34,103
103,"Brian Swift, G",USF,27,35.0,119,4.4,82,3.0,5.0,1.45,104
104,"Corey Santee, G",TCU,29,33.1,127,4.4,64,2.2,5.3,1.98,105
105,"Luiz Lemes, G",BYU,29,31.5,127,4.4,68,2.3,5.6,1.87,106
106,"Mike Green, G",TOWS,29,34.0,127,4.4,103,3.6,5.2,1.23,107
107,"Frank Brown, G",MTST,27,28.3,118,4.4,76,2.8,6.2,1.55,108
108,"Devin Harris, G",WIS,30,36.3,131,4.4,58,1.9,4.8,2.26,109
109,"Sammy Mejia, G",DEP,30,29.4,131,4.4,86,2.9,5.9,1.52,110
110,"Maurice Murphy, G",CLMB,22,25.6,96,4.4,72,3.3,6.8,1.33,111
111,"Anthony Atkinson, G",CAMP,25,32.4,109,4.4,79,3.2,5.4,1.38,112
112,"Obie Trotter, G",AAMU,29,32.8,126,4.3,96,3.3,5.3,1.31,113
113,"Josh Fisher, G",SLU,30,35.0,130,4.3,68,2.3,5.0,1.91,114
114,"Adam Quick, G",PORT,28,34.1,121,4.3,55,2.0,5.1,2.20,115
115,"Andrew Wisniewski, G",CENT,28,35.0,121,4.3,88,3.1,4.9,1.38,116
116,"Keydren (Keekee) Clark, G",SPU,29,38.8,125,4.3,98,3.4,4.4,1.28,117
117,"Eldridge Lewis, G",MCNS,27,27.7,116,4.3,90,3.3,6.2,1.29,118
118,"Carldell 'Squeaky' Johnson, G",UAB,29,23.7,123,4.2,30,1.0,7.2,4.10,119
119,"Jeff Gloger, G-F",UCI,28,34.2,118,4.2,76,2.7,4.9,1.55,120
0,"Marcus Williams, G",CONN,29,30.6,234,8.1,93,3.2,10.6,2.52,1
1,"Will Funn, G",PRST,28,34.5,224,8.0,96,3.4,9.3,2.33,2
2,"Damitrius Coleman, G",MER,28,31.6,224,8.0,125,4.5,10.1,1.79,3
3,"Aaron Miles, G",KU,29,33.1,212,7.3,91,3.1,8.8,2.33,4
4,"Filiberto Rivera, G",UTEP,31,34.0,226,7.3,67,2.2,8.6,3.37,5
5,"Walker Russell, G",JVST,29,36.7,211,7.3,131,4.5,7.9,1.61,6
6,"J.J. Barea, G",NE,30,33.2,218,7.3,134,4.5,8.8,1.63,7
7,"Javier Mendiburu, G",GB,26,34.3,184,7.1,80,3.1,8.2,2.30,8
8,"Travis Diener, G",MARQ,23,34.0,160,7.0,58,2.5,8.2,2.76,9
9,"Raymond Felton, G",UNC,30,31.5,208,6.9,111,3.7,8.8,1.87,10
10,"Garrett Farha, G",SFU,28,33.6,194,6.9,85,3.0,8.3,2.28,11
11,"Chris Thomas, G",ND,28,37.4,186,6.6,80,2.9,7.1,2.33,12
12,"Chris Paul, G",WAKE,30,32.9,198,6.6,82,2.7,8.0,2.41,13
13,"Rob Monroe, G",QUIN,26,39.1,170,6.5,96,3.7,6.7,1.77,14
14,"Rodney Billups, G",DEN,30,34.8,195,6.5,102,3.4,7.5,1.91,15
15,"Deron Williams, G",ILL,33,33.0,214,6.5,91,2.8,7.9,2.35,16
16,"Alvin Cruz, G",NIAG,29,36.9,188,6.5,67,2.3,7.0,2.81,17
17,"Mike Slattery, G",DEL,26,36.7,168,6.5,64,2.5,7.0,2.63,18
18,"Matt Witt, G",EKY,30,32.9,193,6.4,121,4.0,7.8,1.60,19
19,"Will Conroy, G",WASH,31,30.7,198,6.4,87,2.8,8.3,2.28,20
20,"Jared Jordan, G",MRST,27,34.0,169,6.3,70,2.6,7.4,2.41,21
21,"Carl Krauser, G",PITT,28,35.5,166,5.9,118,4.2,6.7,1.41,22
22,"Daevon Haskins, G",LT,29,36.6,167,5.8,89,3.1,6.3,1.88,23
23,"Jerel Blassingame, G",UNLV,29,26.1,163,5.6,96,3.3,8.6,1.70,24
24,"Luis Ford, G",HOW,10,34.9,56,5.6,29,2.9,6.4,1.93,25
25,"Jeff Horner, G",IOWA,32,36.6,179,5.6,80,2.5,6.1,2.24,26
26,"DeAndre Haynes, G",KENT,32,31.4,176,5.5,100,3.1,7.0,1.76,27
27,"Tamien Trent, G",FDU,32,34.8,176,5.5,99,3.1,6.3,1.78,28
28,"Jonathan Bluitt, G",ORU,32,32.6,175,5.5,61,1.9,6.7,2.87,29
29,"John Gilchrist, G",MD,28,32.2,153,5.5,73,2.6,6.8,2.10,30
30,"Dwayne Lee, G",JOES,30,35.9,163,5.4,78,2.6,6.1,2.09,31
31,"Brian Swift, G",USF,30,37.5,161,5.4,86,2.9,5.7,1.87,32
32,"Tyler McKinney, G",CREI,33,32.7,177,5.4,74,2.2,6.6,2.39,33
33,"Kenny Grant, G",DAV,29,29.6,155,5.3,89,3.1,7.2,1.74,34
34,"Dereke Tipler, G",ARST,29,24.3,155,5.3,69,2.4,8.8,2.25,35
35,"Solomon Brown, G",USM,10,25.7,53,5.3,18,1.8,8.2,2.94,36
36,"Jay Straight, G",WYO,28,39.6,148,5.3,118,4.2,5.3,1.25,37
37,"Jordan Farmar, G",UCLA,28,34.3,148,5.3,109,3.9,6.2,1.36,38
38,"Aaron Fitzgerald, G",UCI,29,32.6,152,5.2,106,3.7,6.4,1.43,39
39,"John Floyd, G",BGSU,29,28.1,150,5.2,87,3.0,7.4,1.72,40
40,"Ramon Sessions, G",NEV,30,30.7,155,5.2,90,3.0,6.7,1.72,41
41,"Willie Depron, G",NICH,27,33.7,138,5.1,94,3.5,6.1,1.47,42
42,"Drew Hall, G",COFC,28,26.6,143,5.1,40,1.4,7.7,3.58,43
43,"Acie Law IV, G",TAMU,28,30.9,143,5.1,77,2.8,6.6,1.86,44
44,"Terrell Everett, G",OKLA,31,34.0,158,5.1,87,2.8,6.0,1.82,45
45,"Lucious Wagner, G",EVAN,28,32.9,142,5.1,70,2.5,6.2,2.03,46
46,"Martin Osimani, G",DUQ,30,27.9,151,5.0,71,2.4,7.2,2.13,47
47,"Gerry McNamara, G",SYR,33,35.3,165,5.0,96,2.9,5.7,1.72,48
48,"C.J. Watson, G",TENN,31,34.9,155,5.0,96,3.1,5.7,1.61,49
49,"Bobby Brown, G",CSF,29,35.3,145,5.0,96,3.3,5.7,1.51,50
50,"Rob Gogerty, G",UMBC,29,34.2,143,4.9,52,1.8,5.8,2.75,51
51,"DaShawn Freeman, G",SAC,28,25.4,138,4.9,85,3.0,7.8,1.62,52
52,"Ronald Steele, G",ALA,31,34.1,152,4.9,62,2.0,5.8,2.45,53
53,"Tyquawn Goode, G",FAIR,30,33.0,147,4.9,70,2.3,5.9,2.10,54
54,"Derek Raivio, G",GONZ,29,36.5,142,4.9,63,2.2,5.4,2.25,55
55,"Hosea Butler, G",MVSU,28,35.1,137,4.9,62,2.2,5.6,2.21,56
56,"Matt Coward, G",VMI,27,31.2,132,4.9,126,4.7,6.3,1.05,57
57,"Will Blalock, G",ISU,28,36.8,136,4.9,64,2.3,5.3,2.13,58
58,"Rickey Willis, G",WMU,31,33.5,150,4.8,70,2.3,5.8,2.14,59
59,"Spencer Nelson, F",USU,31,29.4,150,4.8,79,2.5,6.6,1.90,60
60,"Quinton Day, G",UMKC,24,38.6,116,4.8,69,2.9,5.0,1.68,61
61,"Louis Hinnant, G",BC,26,29.6,125,4.8,50,1.9,6.5,2.50,62
62,"Tory Cavalieri, G",SFNY,28,36.3,134,4.8,91,3.3,5.3,1.47,63
63,"Tim Begley, G",PENN,28,36.0,134,4.8,87,3.1,5.3,1.54,64
64,"Gary Ervin, G",MSST,32,29.2,153,4.8,97,3.0,6.6,1.58,65
65,"John Goldsberry, G",UNCW,27,35.0,129,4.8,59,2.2,5.5,2.19,66
66,"Cory Sims, G",NIU,28,29.7,133,4.8,83,3.0,6.4,1.60,67
67,"Obie Trotter, G",AAMU,31,33.8,147,4.7,103,3.3,5.6,1.43,68
68,"Carldell 'Squeaky' Johnson, G",UAB,31,31.0,147,4.7,53,1.7,6.1,2.77,69
69,"Anthony Harris, G",MIA,28,29.6,132,4.7,86,3.1,6.4,1.53,70
70,"Daniel Ruffin, G",BRAD,28,34.1,132,4.7,73,2.6,5.5,1.81,71
71,"Kyle Feuerbach, G",NAU,28,32.5,131,4.7,75,2.7,5.8,1.75,72
72,"T.J. McCullough, G",WEBB,30,27.1,140,4.7,74,2.5,6.9,1.89,73
73,"Tack Minor, G",LSU,29,28.5,135,4.7,101,3.5,6.5,1.34,74
74,"Aaron Brooks, G",ORE,27,33.1,125,4.6,87,3.2,5.6,1.44,75
75,"Nate Robinson, G",WASH,32,31.8,148,4.6,66,2.1,5.8,2.24,76
76,"Mustafa Shakur, G",ARIZ,33,28.8,152,4.6,87,2.6,6.4,1.75,77
77,"Drew Williamson, G",ODU,33,26.6,152,4.6,35,1.1,6.9,4.34,78
78,"Julius Hodge, G-F",NCST,31,34.3,142,4.6,82,2.6,5.3,1.73,79
79,"Marcus Kinzer, G",TULN,26,28.5,119,4.6,67,2.6,6.4,1.78,80
80,"Terry Williams, G",GASO,31,29.5,141,4.5,98,3.2,6.2,1.44,81
81,"Dee Brown, G",ILL,33,31.9,150,4.5,58,1.8,5.7,2.59,82
82,"Steve Barnes, G",SUU,26,24.5,118,4.5,47,1.8,7.4,2.51,83
83,"Ricky Soliver, G",IONA,29,34.6,131,4.5,76,2.6,5.2,1.72,84
84,"Chris Gaynor, G",WIN,32,30.0,144,4.5,69,2.2,6.0,2.09,85
85,"Ali Berdiel, G",VALP,2,30.5,9,4.5,14,7.0,5.9,0.64,86
86,"Carl Elliott, G",GW,29,28.8,130,4.5,95,3.3,6.2,1.37,87
87,"Kahleaf Watson, G",FAU,27,26.5,121,4.5,96,3.6,6.8,1.26,88
88,"Brian Woodson, G",LIB,23,31.0,103,4.5,96,4.2,5.8,1.07,89
89,"Jerry Johnson, G",RID,30,36.8,134,4.5,67,2.2,4.9,2.00,90
90,"Jeff Gardner, G",IDST,27,35.1,120,4.4,82,3.0,5.1,1.46,91
91,"Jarrett Jack, G",GT,30,34.2,133,4.4,105,3.5,5.2,1.27,92
92,"D.J. Thompson, G",APP,30,29.2,133,4.4,81,2.7,6.1,1.64,93
93,"Chris Hill, G",MSU,28,24.8,124,4.4,42,1.5,7.1,2.95,94
94,"K.J. Garland, G",UNCA,28,32.3,124,4.4,66,2.4,5.5,1.88,95
95,"Zack Graber, G",UALR,28,36.8,124,4.4,74,2.6,4.8,1.68,96
96,"Turner Battle, G",BUFF,31,34.9,137,4.4,58,1.9,5.1,2.36,97
97,"Curtis Stinson, G",ISU,29,35.5,128,4.4,94,3.2,5.0,1.36,98
98,"Lorenzo Williams, G",RICE,23,24.9,101,4.4,58,2.5,7.1,1.74,99
99,"T.J. Sorrentine, G",UVM,29,36.2,127,4.4,84,2.9,4.8,1.51,100
100,"Vince Greene, G",ILST,30,31.8,131,4.4,78,2.6,5.5,1.68,101
101,"Japhet McNeil, G",ECU,28,28.9,122,4.4,85,3.0,6.0,1.44,102
102,"Marcus Hall, G",COLO,29,29.6,126,4.3,67,2.3,5.9,1.88,103
103,"Dru Joyce, G",AKR,29,30.9,126,4.3,66,2.3,5.6,1.91,104
104,"Darren Brooks, G",SIU,33,33.0,143,4.3,80,2.4,5.3,1.79,105
105,"John Lucas III, G",OKST,30,35.9,130,4.3,49,1.6,4.8,2.65,106
106,"Daon Merritt, G",RICH,25,28.2,108,4.3,65,2.6,6.1,1.66,107
107,"Mike Parker, G",SHU,22,30.0,95,4.3,82,3.7,5.7,1.16,108
108,"Mike Green, G",TOWS,29,32.9,125,4.3,93,3.2,5.2,1.34,109
109,"Raymond Anthony, G",LAM,29,34.4,125,4.3,74,2.6,5.0,1.69,110
110,"Tyronn Mitchell, G",NWST,33,22.1,142,4.3,76,2.3,7.8,1.87,111
111,"Richard 'Tabby' Cunningham, G",LAS,39,31.1,167,4.3,146,3.7,5.5,1.14,112
112,"Eric Ferguson, G",ARK,30,27.2,128,4.3,54,1.8,6.3,2.37,113
113,"Danny Pariseau, G",EWU,28,27.5,119,4.3,83,3.0,6.2,1.43,114
114,"Tim Smith, G",ETSU,29,35.9,123,4.2,140,4.8,4.7,0.88,115
115,"Walt Chavis, G",CLEV,26,29.2,110,4.2,61,2.3,5.8,1.80,116
116,"Marcetteaus McGee, G",UIC,9,25.6,38,4.2,15,1.7,6.6,2.53,117
117,"Taurean Mitchell, G",AMCC,28,22.1,118,4.2,77,2.8,7.6,1.53,118
118,"Dedrick Finn, G",XAV,29,33.4,122,4.2,71,2.4,5.0,1.72,119
119,"Pierre Pierce, G",IOWA,20,34.0,84,4.2,84,4.2,4.9,1.00,120
0,"Marcus Williams, G",CONN,19,32.9,163,8.6,69,3.6,10.4,2.36,1
1,"Jared Jordan, G",MRST,29,39.0,247,8.5,92,3.2,8.7,2.68,2
2,"J.J. Barea, G",NE,29,33.6,244,8.4,136,4.7,10.0,1.79,3
3,"Walker Russell, G",JVST,29,35.2,197,6.8,117,4.0,7.7,1.68,4
4,"Terrell Everett, G",OKLA,28,33.8,188,6.7,112,4.0,8.0,1.68,5
5,"Kenny Grant, G",DAV,30,25.0,199,6.6,76,2.5,10.6,2.62,6
6,"Bobby Dixon, G",TROY,29,34.6,192,6.6,95,3.3,7.7,2.02,7
7,"Aaron Fitzgerald, G",UCI,29,30.7,190,6.6,103,3.6,8.5,1.84,8
8,"Chris Quinn, G",ND,27,39.7,169,6.3,68,2.5,6.3,2.49,9
9,"Carldell 'Squeaky' Johnson, G",UAB,30,31.2,187,6.2,59,2.0,8.0,3.17,10
10,"Josh Wilson, G",NAU,31,30.8,191,6.2,121,3.9,8.0,1.58,11
11,"Will Blalock, G",ISU,30,35.7,184,6.1,89,3.0,6.9,2.07,12
12,"Golden Ingle, G",KENN,26,36.1,159,6.1,99,3.8,6.8,1.61,13
13,"Lorenzo Williams, G",RICE,28,33.6,170,6.1,89,3.2,7.2,1.91,14
14,"T.J. McCullough, G",WEBB,28,32.3,170,6.1,79,2.8,7.5,2.15,15
15,"Gerry McNamara, G",SYR,34,35.6,204,6.0,114,3.4,6.7,1.79,16
16,"Aubrey Conerly, G",JAC,27,32.7,161,6.0,96,3.6,7.3,1.68,17
17,"Kevin Bell, G",FRES,28,36.0,165,5.9,65,2.3,6.5,2.54,18
18,"Zack Wright, G",UALR,28,33.0,164,5.9,106,3.8,7.1,1.55,19
19,"Bruce Price, G",TNST,6,36.5,35,5.8,26,4.3,6.4,1.35,20
20,"Jesse Kimbrough, G",JAC,5,27.6,29,5.8,18,3.6,8.4,1.61,21
21,"Jeff Horner, G",IOWA,29,36.3,165,5.7,82,2.8,6.3,2.01,22
22,"Jamie McNeilly, G",UNO,29,35.0,164,5.7,88,3.0,6.5,1.86,23
23,"Dee Brown, G",ILL,31,35.6,175,5.6,90,2.9,6.3,1.94,24
24,"Jejuan Plair, G",SHSU,31,30.3,175,5.6,98,3.2,7.4,1.79,25
25,"Japhet McNeil, G",ECU,26,25.8,146,5.6,85,3.3,8.7,1.72,26
26,"Curtis Stinson, G",ISU,30,35.6,166,5.5,103,3.4,6.2,1.61,27
27,"Mike Trimboli, G",UVM,30,34.8,166,5.5,134,4.5,6.4,1.24,28
28,"DaShawn Freeman, G",SAC,30,31.9,165,5.5,91,3.0,6.9,1.81,29
29,"Drew Neitzel, G",MSU,33,32.8,181,5.5,66,2.0,6.7,2.74,30
30,"Dominic James, G",MARQ,30,32.5,162,5.4,85,2.8,6.7,1.91,31
